name,id,parent_id,description,link_download,incolla_valori
chelsa,1,1,,,
GLOBAL,2,1,,,
annual,3,2,,,
climatologies,4,2,,,
daily,5,2,,,
daily_normals,6,2,,,
monthly,7,2,,,
swb,8,3,Soil water balance,,
1981_V.2.1.tif,9,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1981_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1981_V.2.1.tif
1982_V.2.1.tif,10,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1982_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1982_V.2.1.tif
1983_V.2.1.tif,11,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1983_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1983_V.2.1.tif
1984_V.2.1.tif,12,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1984_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1984_V.2.1.tif
1985_V.2.1.tif,13,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1985_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1985_V.2.1.tif
1986_V.2.1.tif,14,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1986_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1986_V.2.1.tif
1987_V.2.1.tif,15,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1987_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1987_V.2.1.tif
1988_V.2.1.tif,16,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1988_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1988_V.2.1.tif
1989_V.2.1.tif,17,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1989_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1989_V.2.1.tif
1990_V.2.1.tif,18,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1990_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1990_V.2.1.tif
1991_V.2.1.tif,19,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1991_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1991_V.2.1.tif
1992_V.2.1.tif,20,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1992_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1992_V.2.1.tif
1993_V.2.1.tif,21,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1993_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1993_V.2.1.tif
1994_V.2.1.tif,22,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1994_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1994_V.2.1.tif
1995_V.2.1.tif,23,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1995_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1995_V.2.1.tif
1996_V.2.1.tif,24,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1996_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1996_V.2.1.tif
1997_V.2.1.tif,25,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1997_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1997_V.2.1.tif
1998_V.2.1.tif,26,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1998_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1998_V.2.1.tif
1999_V.2.1.tif,27,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1999_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_1999_V.2.1.tif
2000_V.2.1.tif,28,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2000_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2000_V.2.1.tif
2001_V.2.1.tif,29,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2001_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2001_V.2.1.tif
2002_V.2.1.tif,30,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2002_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2002_V.2.1.tif
2003_V.2.1.tif,31,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2003_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2003_V.2.1.tif
2004_V.2.1.tif,32,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2004_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2004_V.2.1.tif
2005_V.2.1.tif,33,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2005_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2005_V.2.1.tif
2006_V.2.1.tif,34,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2006_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2006_V.2.1.tif
2007_V.2.1.tif,35,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2007_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2007_V.2.1.tif
2008_V.2.1.tif,36,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2008_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2008_V.2.1.tif
2009_V.2.1.tif,37,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2009_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2009_V.2.1.tif
2010_V.2.1.tif,38,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2010_V.2.1.tif
2011_V.2.1.tif,39,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2011_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2011_V.2.1.tif
2012_V.2.1.tif,40,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2012_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2012_V.2.1.tif
2013_V.2.1.tif,41,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2013_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2013_V.2.1.tif
2014_V.2.1.tif,42,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2014_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2014_V.2.1.tif
2015_V.2.1.tif,43,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2015_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2015_V.2.1.tif
2016_V.2.1.tif,44,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2016_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2016_V.2.1.tif
2017_V.2.1.tif,45,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2017_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2017_V.2.1.tif
2018_V.2.1.tif,46,8,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2018_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/annual/swb/CHELSA_swb_2018_V.2.1.tif
1981-2010,47,4,,,
2011-2040,48,4,,,
2041-2070,49,4,,,
2071-2100,50,4,,,
bio,51,47,,,
clt,52,47,,,
cmi,53,47,,,
hurs,54,47,,,
ncdf,55,47,,,
pet,56,47,,,
pr,57,47,,,
rsds,58,47,,,
sfcWind,59,47,,,
tas,60,47,,,
tasmax,61,47,,,
